English ,Czech,Deutsch,Spanish,French,Italian,Polish,Portuguese,Russian,Turkish,Chinese,
Gallon,galon,Gallone,galones,gallon,galloni,galon,galão,галлоны,galon,加仑,
M3  (Cubic Meter),M3 (metr krychlový),m³ (Kubikmeter),M3 (metro cúbico),M3 (mètre cube),M3 (metri cubi),M3 (metr sześcienny),M3 (metro cúbico),м3 (кубические метры),M3 (Metreküp),M3（立方米）,
Graphic Bar,Grafický panel,Darstellung Bar,Gráfico de presión,Graphique à barres,Barra grafica,Pasek graficzny,Barra gráfica,График (столбцы),Grafik Çubuğu,图表栏,
Sensor Setting,Nastavení senzoru,Sensoreinstellung,Configuración del sensor,Paramètres de la sonde,Impostazioni sensore,Ustawienie czujnika,Configuração do sensor,Настройка датчика,Sensör Ayarı,传感器设置,
Sensor Model,Model senzoru,Sensormodell,Modelo de sensor,Modèle de capteur,Modello sensore,Model czujnika,Modelo do sensor,Модель датчика,Sensör Modeli,传感器型号,
Save,Uložit,Speichern,Guardar,Enregistrer,Salva,Zapisz,Salvar,Сохранить,Kaydet,保存,
Cancel,Zrušit,Abbr.,Canc.,Annul.,Annull.,Anul.,Canc.,Отм.,İptal,取消,
High Flow Shutdown,Vypnutí při vysokém průtoku,Abschaltung bei hohem Durchfluss,Cierre por caudal alto,Arrêt pour cause de haut débit,Arresto per portata elevata,Wyłączenie przy wysokim przepływie,Desligamento por vazão alta,Отключение при превышении расхода,Yüksek Debi Kapatma,高流量关闭,
Enable,Povolit ,Zulassen,Habilitar,Activer,Abilita,Włącz,Ativar,Разрешить,Etkinleştir,启用,
Disabled,Zakázáno,Deakt.,Deshab.,désactivé,Disatt.,Wył.,Desat.,Откл.,Devre d.,已禁用,
Max Flow Rate,Maximální průtok,Max. Durchflussrate,Caudal máximo,Débit maximal,Portata massima,Maksymalne natężenie przepływu,Taxa máxima de vazão,Максимальный расход,Azami debi oranı,最大流量,
Delay Factor,Faktor zpoždění,Verzögerung,Factor de retardo,Facteur de délai,Fattore di ritardo,Współczynnik opóźnienia,Fator de atraso,Коэффициент задержки,Gecikme faktörü,延迟因素,
Mute is active,Ztlumení je aktivní,Stummschaltung ist aktiv,Sonido desactivado,Le mode sourdine est activé,La funzione Mute è attiva,Wyciszenie jest aktywne,Mudo está ativo,Включен режим молчания,Sessiz etkin,静音已激活,
Start Events,pustit Události,Ereignisse Starten,Iniciar Eventos,Démarrer Événements,Avviare Eventi,Rozpocznij Wydarzenia,Iniciar Eventos,Запуск Событий,Olayları Başlat,启动事件,
Program Commands,Příkazy Programu,Programm-Befehle,Comandos del Programa,Commandes du Programme,Comandi del Programma,Polecenia Programu,Comandos do Programa,Команды Программы,Program Komutları,程序命令,
Stop Devices,Zastavit Zařízení,Geräte Stoppen,Detener Dispositivos,Arrêter les Appareils,Fermare Dispositivi,Zatrzymaj Urządzenia,Parar Dispositivos,Остановить Устройства,Cihazları Durdur,停止设备,
Total Controllers:,Celkem řídící,Gesamt Steuer.,Total control.,Total contrôl.,Totale controll.,Łącznie ster.,Total control.,Всего контрол.,Toplam kont.,总控制器,
Online:,Onl.,Onl.,Enl.,Enl.,Onl.,Onl.,Onl.,Онл.,Çevr.,在线,
Offline:,Offl.,Offl.,Desc.,Hors.,Offl.,Offl.,Offl.,Оффл.,Çevrimd.,离线,
Commands,Příkazy,Befehle,Comandos,Commandes,Comandi,Polecenia,Comandos,Команды,Komutlar,命令 ,
System Operation Actions,Akce Provozu Systému,Systembetriebsaktionen,Acciones de Operación del Sistema,Actions d'Opération du Système,Azioni di Funzionamento del Sistema,Operacje Działania Systemu,Ações de Operação do Sistema,Действия по Эксплуатации Системы,Sistem İşletim Eylemleri,系统操作行动,
Acknowledge,Potvrdit,Bestätigen,Reconocer,Accus.,Confermare,Potwierdzić,Reconhecer,Подтвердить,Onaylamak,确认,
Flow Sensor 1,Průt. sen. 1,Fluss Sens. 1,Sensor fl. 1,Capteur d. 1,Sensore fl. 1,Czujnik pr. 1,Sensor fl. 1,Датчик пот. 1,Akış sens. 1,流量 1,
Flow Sensor 2,Průt. sen. 2,Fluss Sens. 2,Sensor fl. 2,Capteur d. 2,Sensore fl. 2,Czujnik pr. 2,Sensor fl. 2,Датчик пот. 2,Akış sens. 2,流量 2,
Flow Sensor 3,Průt. sen. 3,Fluss Sens. 3,Sensor fl. 3,Capteur d. 3,Sensore fl. 3,Czujnik pr. 3,Sensor fl. 3,Датчик пот. 3,Akış sens. 3,流量 3,
Flow Sensor 4,Průt. sen. 4,Fluss Sens. 4,Sensor fl. 4,Capteur d. 4,Sensore fl. 4,Czujnik pr. 4,Sensor fl. 4,Датчик пот. 4,Akış sens. 4,流量 4,
Flow Sensor 5,Průt. sen. 5,Fluss Sens. 5,Sensor fl. 5,Capteur d. 5,Sensore fl. 5,Czujnik pr. 5,Sensor fl. 5,Датчик пот. 5,Akış sens. 5,流量 5,
Flow Sensor 6,Průt. sen. 6,Fluss Sens. 6,Sensor fl. 6,Capteur d. 6,Sensore fl. 6,Czujnik pr. 6,Sensor fl. 6,Датчик пот. 6,Akış sens. 6,流量 6,
Clear,Vymazat,Löschen,Limpiar,Effacer,Cancellare,Wyczyść,Limpar,Очистить,Temizle,清除,
Do you want to reset ?,Chcete resetovat ?,Möchten Sie zurücksetzen ?,¿Quieres reiniciar ?,Voulez-vous réinitialiser ?,Vuoi resettare ?,Czy chcesz zresetować ?,Você quer reiniciar ?,Вы хотите сбросить ?,Sıfırlamak istiyor musunuz ?,您要重置吗？,
Reset,Resetovat,Zurücksetzen,Reiniciar,Réinitialiser,Resettare,Zresetować,Reiniciar,Сбросить,Sıfırla,重置,
Site Controllers,Řadiče míst,Standortregler,Controladores sitio,Contrôleurs site,Controller sito,Kontrolery miejsc,Controladores local,Контроллеры сайта,Site Kontrolörleri,站点控制器,
System Controllers,Systémové řadiče,Systemregler,Controladores sistema,Contrôleurs système,Controller sistema,Kontrolery systemu,Controladores sistema,Контроллеры системы,Sistem Kontrolörleri,系统控制器,
System Map,Mapa systému,Systemkarte,Mapa sistema,Carte système,Mappa sistema,Mapa systemu,Mapa sistema,Карта системы,Sistem Haritası,系统地图,
System Dashboard,Systémový panel,System-Dashboard,Panel sistema,Table. syst.,Pannello sistema,Panel systemu,Painel sistema,Системная панель,Sistem Panosu,系统仪表盘,
Site Map,Mapa webu,Seitenkarte,Mapa sitio,Plan du site,Mappa sito,Mapa strony,Mapa site,Карта сайта,Site Haritası,网站地图,
Site Dashboard,Panel webu,Site-Dashboard,Panel sitio,Tab. Site,Pannello sito,Panel strony,Painel site,Панель сайта,Site Panosu,站点仪表盘,
Sites List,Seznam webů,Standortliste,Lista sitios,Liste sites,Lista siti,Lista stron,Lista sites,Список сайтов,Site Listesi,站点列表,
Module Info / Current,Info modulu / Aktuální,Modulinfo / Aktuell,Info módulo / Actual,Info module / Actuel,Info modulo / Corrente,Info modułu / Bieżący,Info módulo / Atual,Инфо модуля / Текущий,Modül Bilgi / Geçerli,模块信息 / 当前,
